NAME,GENDER,START AGE,END AGE,STATE,INCOME,STUDENT,MARRIED
Contributory Social Security Scheme,male,18.0,60.0,jammu and Kashmir,48000,no,yes
Contributory Social Security Scheme,female,18.0,60.0,jammu and Kashmir,48000,yes,yes
Contributory Social Security Scheme,female,18.0,60.0,jammu and Kashmir,48000,yes,no
Contributory Social Security Scheme,female,18.0,60.0,jammu and Kashmir,48000,no,no
Contributory Social Security Scheme,female,18.0,60.0,jammu and Kashmir,48000,no,yes
Vivah Sahayata Yojana,male,18.0,60.0,jharkand,0,yes,yes
Vivah Sahayata Yojana,male,18.0,60.0,jharkand,0,yes,no
Vivah Sahayata Yojana,male,18.0,60.0,jharkand,0,no,yes
Vivah Sahayata Yojana,male,18.0,60.0,jharkand,0,no,no
Vivah Sahayata Yojana,female,18.0,60.0,jharkand,0,yes,yes
Vivah Sahayata Yojana,female,18.0,60.0,jharkand,0,yes,no
Vivah Sahayata Yojana,female,18.0,60.0,jharkand,0,no,yes
Vivah Sahayata Yojana,female,18.0,60.0,jharkand,0,no,no
Grant of Mahatma Gandhi Memorial Award for Clean Houses,male,18.0,60.0,puducherry,0,yes,yes
Grant of Mahatma Gandhi Memorial Award for Clean Houses,male,18.0,60.0,puducherry,0,no,yes
Grant of Mahatma Gandhi Memorial Award for Clean Houses,male,18.0,60.0,puducherry,0,yes,no
Grant of Mahatma Gandhi Memorial Award for Clean Houses,male,18.0,60.0,puducherry,0,no,no
Grant of Mahatma Gandhi Memorial Award for Clean Houses,female,18.0,60.0,puducherry,0,yes,yes
Grant of Mahatma Gandhi Memorial Award for Clean Houses,female,18.0,60.0,puducherry,0,no,yes
Grant of Mahatma Gandhi Memorial Award for Clean Houses,female,18.0,60.0,puducherry,0,yes,no
Grant of Mahatma Gandhi Memorial Award for Clean Houses,female,18.0,60.0,puducherry,0,no,no
Savitribai Jyotirao Phule Fellowship For Single Girl Child,female,17.0,40.0,central,0,yes,no
Nari Niketans,female,0.0,60.0,jammu and Kashmir,0,yes,yes
Nari Niketans,female,0.0,60.0,jammu and Kashmir,0,no,yes
Laadli Laxmi Scheme,female,0.0,60.0,goa,300000,yes,yes
Laadli Laxmi Scheme,female,0.0,60.0,goa,300000,yes,no
Laadli Laxmi Scheme,female,0.0,60.0,goa,300000,no,yes
Laadli Laxmi Scheme,female,0.0,60.0,goa,300000,no,no
Assistance For Delivery / Miscarriage Of Pregnancy / Termination Of Pregnancy To Female Differently Abled Person,female,18.0,60.0,tamil nadu,0,yes,no
Assistance For Delivery / Miscarriage Of Pregnancy / Termination Of Pregnancy To Female Differently Abled Person,female,18.0,60.0,tamil nadu,0,no,no
Mukhyamantri Mahila Utkarsh Yojana,female,18.0,60.0,gujarat,0,yes,yes
Mukhyamantri Mahila Utkarsh Yojana,female,18.0,60.0,gujarat,0,yes,no
Mukhyamantri Mahila Utkarsh Yojana,female,18.0,60.0,gujarat,0,no,yes
Mukhyamantri Mahila Utkarsh Yojana,female,18.0,60.0,gujarat,0,no,no
Grant of Financial Assistance for Performance of Marriage of Poor Brides Living Below Poverty Line,female,18.0,60.0,puducherry,75000,yes,no
Grant of Financial Assistance for Performance of Marriage of Poor Brides Living Below Poverty Line,female,18.0,60.0,puducherry,75000,no,no
Post Graduate Indira Gandhi Scholarship For Single Girl Child,female,13.0,30.0,central,0,yes,yes
Post Graduate Indira Gandhi Scholarship For Single Girl Child,female,13.0,30.0,central,0,yes,no
Asangathit Karmakaar Silai Machine Sahayata Yojana,female,18.0,50.0,central,0,yes,yes
Asangathit Karmakaar Silai Machine Sahayata Yojana,female,18.0,50.0,central,0,yes,no
Asangathit Karmakaar Silai Machine Sahayata Yojana,female,18.0,50.0,central,0,no,yes
Asangathit Karmakaar Silai Machine Sahayata Yojana,female,18.0,50.0,central,0,no,no
Indira Gandhi National Widow Pension Scheme,female,4.0,60.0,central,0,no,no
Kulavilakku,female,18.0,60.0,puducherry,24000,yes,yes
Kulavilakku,female,18.0,60.0,puducherry,24000,no,yes
Mukhyamantri Asangathit Karmakar Cycle Sahayata Yojana,female,18.0,40.0,chattisgarh,0,no,yes
Mukhyamantri Asangathit Karmakar Cycle Sahayata Yojana,female,18.0,40.0,chattisgarh,0,no,no
Grant of Financial Assistance to Poor Scheduled Caste Pregnant & Lactating Women,female,18.0,60.0,puducherry,200000,yes,yes
Grant of Financial Assistance to Poor Scheduled Caste Pregnant & Lactating Women,female,18.0,60.0,puducherry,200000,no,yes
Mukhyamantri Samajik Sahayata Prakalpa - Vulnerable Women,female,18.0,60.0,central,0,yes,no
Mukhyamantri Samajik Sahayata Prakalpa - Vulnerable Women,female,18.0,60.0,central,0,no,no
Financial Assistance For The Marriage Of Daughters Of Poor Widows And Orphan Girls,female,18.0,40.0,delhi,100000,yes,no
Financial Assistance For The Marriage Of Daughters Of Poor Widows And Orphan Girls,female,18.0,40.0,delhi,100000,no,no
Widow B.Ed Scheme-Rajasthan,female,18.0,40.0,rajasthan,0,no,no
Thayi Bhagya Scheme(comprehensive Maternal Healthcare),female,18.0,60.0,karnataka,0,yes,yes
Thayi Bhagya Scheme(comprehensive Maternal Healthcare),female,18.0,60.0,karnataka,0,no,yes
Ashirwad,female,18.0,60.0,punjab,32790,yes,yes
Ashirwad,female,18.0,60.0,punjab,32790,yes,no
Ashirwad,female,18.0,60.0,punjab,32790,no,yes
Ashirwad,female,18.0,60.0,punjab,32790,no,no
Abhayakiranam Scheme-Financial Assistance To Destitute Widows,female,50.0,60.0,kerala,100000,no,no
Aravanaippu,female,18.0,60.0,puducherry,24000,yes,yes
Aravanaippu,female,18.0,60.0,puducherry,24000,yes,no
Aravanaippu,female,18.0,60.0,puducherry,24000,no,yes
Aravanaippu,female,18.0,60.0,puducherry,24000,no,no
"Goa (Technical/ Vocational Training To Sex Workers And Sexually Abused Women) Scheme, 2013 (PRABHAT)",female,18.0,60.0,goa,0,yes,yes
"Goa (Technical/ Vocational Training To Sex Workers And Sexually Abused Women) Scheme, 2013 (PRABHAT)",female,18.0,60.0,goa,0,yes,no
"Goa (Technical/ Vocational Training To Sex Workers And Sexually Abused Women) Scheme, 2013 (PRABHAT)",female,18.0,60.0,goa,0,no,yes
"Goa (Technical/ Vocational Training To Sex Workers And Sexually Abused Women) Scheme, 2013 (PRABHAT)",female,18.0,60.0,goa,0,no,no
Girl Students Health & Hygiene Scheme,female,10.0,18.0,arunachal pradesh,0,yes,no
Support for Value Addition - Support to R&G units,male,18.0,60.0,central,0,yes,yes
Support for Value Addition - Support to R&G units,male,18.0,60.0,central,0,yes,no
Support for Value Addition - Support to R&G units,male,18.0,60.0,central,0,no,yes
Support for Value Addition - Support to R&G units,male,18.0,60.0,central,0,no,no
Support for Value Addition - Support to R&G units,female,18.0,60.0,central,0,yes,no
Support for Value Addition - Support to R&G units,female,18.0,60.0,central,0,yes,yes
Support for Value Addition - Support to R&G units,female,18.0,60.0,central,0,no,yes
Support for Value Addition - Support to R&G units,female,18.0,60.0,central,0,no,no
Stipend Scheme For Poultry Farming Training For Weaker Section,male,18.0,60.0,gujarat,0,yes,yes
Stipend Scheme For Poultry Farming Training For Weaker Section,male,18.0,60.0,gujarat,0,yes,no
Stipend Scheme For Poultry Farming Training For Weaker Section,male,18.0,60.0,gujarat,0,no,yes
Stipend Scheme For Poultry Farming Training For Weaker Section,male,18.0,60.0,gujarat,0,no,no
Stipend Scheme For Poultry Farming Training For Weaker Section,female,18.0,60.0,gujarat,0,yes,yes
Stipend Scheme For Poultry Farming Training For Weaker Section,female,18.0,60.0,gujarat,0,yes,no
Stipend Scheme For Poultry Farming Training For Weaker Section,female,18.0,60.0,gujarat,0,no,yes
Stipend Scheme For Poultry Farming Training For Weaker Section,female,18.0,60.0,gujarat,0,no,no
Indian Agricultural Research Institute - Scholarship,male,21.0,60.0,central,0,yes,no
Indian Agricultural Research Institute - Scholarship,male,21.0,60.0,central,0,yes,yes
Indian Agricultural Research Institute - Scholarship,female,21.0,60.0,central,0,yes,no
Indian Agricultural Research Institute - Scholarship,female,21.0,60.0,central,0,yes,yes
Zero Budget Natural Farming,male,18.0,35.0,rajasthan,0,yes,yes
Zero Budget Natural Farming,male,18.0,35.0,rajasthan,0,yes,no
Zero Budget Natural Farming,male,18.0,35.0,rajasthan,0,no,yes
Zero Budget Natural Farming,male,18.0,35.0,rajasthan,0,no,no
Zero Budget Natural Farming,female,18.0,35.0,rajasthan,0,yes,yes
Zero Budget Natural Farming,female,18.0,35.0,rajasthan,0,yes,no
Zero Budget Natural Farming,female,18.0,35.0,rajasthan,0,no,yes
Zero Budget Natural Farming,female,18.0,35.0,rajasthan,0,no,no
Development Of Handicrafts,male,18.0,6.0,puducherry,0,yes,yes
Development Of Handicrafts,male,18.0,6.0,puducherry,0,yes,no
Development Of Handicrafts,male,18.0,6.0,puducherry,0,no,yes
Development Of Handicrafts,male,18.0,6.0,puducherry,0,no,no
Development Of Handicrafts,female,18.0,6.0,puducherry,0,yes,yes
Development Of Handicrafts,female,18.0,6.0,puducherry,0,no,yes
Development Of Handicrafts,female,18.0,6.0,puducherry,0,yes,no
Development Of Handicrafts,female,18.0,6.0,puducherry,0,no,no
Karkhandar Scheme For Development Of Craft Sector,male,18.0,60.0,jammu and Kashmir,0,yes,yes
Karkhandar Scheme For Development Of Craft Sector,male,18.0,60.0,jammu and Kashmir,0,yes,no
Karkhandar Scheme For Development Of Craft Sector,male,18.0,60.0,jammu and Kashmir,0,no,yes
Karkhandar Scheme For Development Of Craft Sector,male,18.0,60.0,jammu and Kashmir,0,no,no
Karkhandar Scheme For Development Of Craft Sector,female,18.0,60.0,jammu and Kashmir,0,yes,yes
Karkhandar Scheme For Development Of Craft Sector,female,18.0,60.0,jammu and Kashmir,0,yes,no
Karkhandar Scheme For Development Of Craft Sector,female,18.0,60.0,jammu and Kashmir,0,no,yes
Karkhandar Scheme For Development Of Craft Sector,female,18.0,60.0,jammu and Kashmir,0,no,no
Abhinandan Education Loan Subsidy Scheme,male,0.0,30.0,assam,0,yes,no
Abhinandan Education Loan Subsidy Scheme,female,0.0,30.0,assam,0,yes,no
National Action Plan for Skill Development of Persons with Disabilities,male,15.0,59.0,central,0,yes,yes
National Action Plan for Skill Development of Persons with Disabilities,male,15.0,59.0,central,0,yes,no
National Action Plan for Skill Development of Persons with Disabilities,male,15.0,59.0,central,0,no,yes
National Action Plan for Skill Development of Persons with Disabilities,male,15.0,59.0,central,0,no,no
National Action Plan for Skill Development of Persons with Disabilities,female,15.0,59.0,central,0,yes,yes
National Action Plan for Skill Development of Persons with Disabilities,female,15.0,59.0,central,0,yes,no
National Action Plan for Skill Development of Persons with Disabilities,female,15.0,59.0,central,0,no,yes
National Action Plan for Skill Development of Persons with Disabilities,female,15.0,59.0,central,0,no,no
Skill Development Promotion Scheme,male,18.0,40.0,goa,0,yes,no
Skill Development Promotion Scheme,female,18.0,40.0,goa,0,yes,no
kpkp,male,5.0,88.0,odisa,0,yes,no
Scheme1,male,0.0,100.0,tamilnadu,0,yes,no
scheme2,male,0.0,100.0,tamil nadu,0,yes,no
Scheme3,male,0.0,100.0,tamilnadu,0,yes,no
scheme4,male,0.0,100.0,tamilnadu,0,yes,no
Scheme5,male,0.0,100.0,tamil nadu,0,yes,no
Scheme6,male,0.0,100.0,tamil nadu,0,yes,no
Scheme6,male,0.0,0.0,tamilnadu,0,yes,no
Scheme5,male,0.0,0.0,tamilnadu,0,yes,no
Scheme1,male,0.0,0.0,tamilnadu,0,yes,yes
Scheme1,Male,0.0,0.0,tamilnadu,0,Yes,Yes
Scheme7,Male,0.0,0.0,tamilnadu,0,Yes,Yes
Scheme1,Male,0.0,0.0,tamilnadu,0,Yes,Yes
Scheme1,Male,0.0,0.0,tamilnadu,0,Yes,Yes
Scheme1,Male,0.0,0.0,tamilnadu,0,Yes,Yes
Scheme1,Male,0.0,0.0,tamilnadu,0,Yes,Yes
Scheme1,Male,0.0,0.0,tamilnadu,0,Yes,No
Scheme10,Male,0.0,0.0,tamil nadu,0,Yes,No
ggg,Female,20.0,29.0,tamil nadu,50000,yes,no
ggg,Female,20.0,29.0,tamil nadu,50000,yes,no
ggg,Female,20.0,30.0,tamil nadu,50000,yes,no
ggg,Female,20.0,30.0,tamil nadu,50000,no,no
ggg,Female,20.0,30.0,tamil nadu,50000,yes,no
ggg,Female,20.0,30.0,tamil nadu,50000,yes,no
ggg,Female,20.0,30.0,tamil nadu,50000,yes,no
ggg,Female,20.0,30.0,tamil nadu,50000,yes,no
ggg,Female,20.0,30.0,tamil nadu,50000,yes,no
uu,Female,20.0,30.0,tamil nadu,50000,yes,no
uu,Female,20.0,30.0,tamil nadu,50000,yes,no
uu,Female,20.0,30.0,tamil nadu,50000,yes,no
ug,Male,20.0,30.0,tamil nadu,50000,yes,no
ggguuu,Male,19.0,29.0,tamil nadu,50000,yes,no
Pregnancy time health care,Female,18.0,45.0,tamil nadu,49999,yes,yes
Pregnancy time health care,Female,18.0,45.0,tamil nadu,49999,yes,yes
Pregnancy time health care,Female,18.0,45.0,tamil nadu,49999,yes,yes
Pregnancy time health care,Female,18.0,45.0,tamil nadu,49999,yes,yes
Pregnancy time health care,Female,18.0,45.0,tamil nadu,49999,yes,no
